Nome,Razão Social,Codigo,Setor,Segmento
BRPR CORPORATE OFFICES FDO DE INV IMOB,FII BROF,BROF,Fundo de Tijolo,Lajes Corporativas
BRPR E-TOWER FDO DE INV IMOB,FII BETW,BETW,Fundo Misto,Indefinido
BS2 ALLINVESTMENTS FDO DE INV IMOB,FII BS2,LLAO,Fundo Misto,Misto
BTG PACTUAL HOTÉIS FII,BTG HOTEL FI,BTHI,Fundo de Tijolo,Hotéis
BTG PACTUAL LOGISTICA FDO INV IMOB - FII,FII BTLG,BTLG,Fundo de Tijolo,Imóveis Industriais e Logísticos
BTG PACTUAL REAL ESTATE HEDGE FUND FII - RESP LTDA,FII BTHF,BTHF,Fundo de Papel,Papéis
BTOWERS FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII BTOWERS,BTWR,Fundo Misto,Fundo de Desenvolvimento
BTSP I FDO. INVEST. IMOB - FII,FII BTSP I,BTSG,Fundo de Tijolo,Imóveis Industriais e Logísticos
BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII BTSP II,BTSI,Fundo Misto,Misto
CAIXA RIO BRAVO FDO DE FDOS INV IMOB II,FII CX RBRA2,CRFF,Fundo de Papel,Fundo de Fundos
CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII,FII CX RBRAV,CXRI,Fundo de Papel,Fundo de Fundos
 CANUMA CAPITAL MULTIESTRATÉGIA FDO DE INV IMOB,FII CANUMA,CCME,Fundo Misto,Indefinido
CANUMA CAPITAL RENDA VAREJO FDO INV RESP LIMIT,FII CCVA,CCVA,Fundo Misto,Indefinido
CAPITÂNIA HBC RENDA URBANA FDO INV IMOB RESP LTDA.,FII VBI CON,EVBI,Fundo Misto,Misto
CAPITÂNIA LOGÍSTICA FDO DE INV IMOB,FII CPLG,CPLG,Fundo Misto,Misto
CAPITÂNIA OFFICE FII - FDO DE INV IMOB,FII CPOF,CPOF,Fundo Misto,Misto
CAPITÂNIA REIT FOF - FDO. INVEST. IMOB,FII CAP REIT,CPFF,Fundo de Papel,Fundo de Fundos
CAPITANIA SECURITIES II FDO INV IMOB - FII,FII CAPI SEC,CPTS,Fundo de Papel,Papéis
CAPITÂNIA SHOPPINGS FUNDO DE INVESTIMENTO IMOB,FII CPSH,CPSH,Fundo Misto,Indefinido
CARTESIA RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVEST,CARTESIA FII,CACR,Fundo de Papel,Papéis
CASTELLO BRANCO OFFICE PARK FII - FII RESPONS LTDA,FII CBOP PAX,CBOP,Fundo de Tijolo,Lajes Corporativas
CATUAÍ VBI TRIPLE A FDO DE INV IMOB,FII BLUE AAA,BLCA,Fundo Misto,Indefinido
CENU - FDO DE INV IMOB,FII CENU,CENU,Fundo de Tijolo,Lajes Corporativas
CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII CF2,CFHI,Fundo Misto,Fundo de Desenvolvimento
CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,FII CF3 IMOB,CFII,Fundo Misto,Indefinido
CIDADE JARDIM CONTINENAL TOWER FDO INV IMOB,FII CJCTOWER,CJCT,Fundo de Tijolo,Lajes Corporativas
CIX MUIRAQUITAN FDO DE INV IMOB,FII CIXM,CIXM,Fundo Misto,Misto
CIX RENDIMENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII CIX REND,CIXR,Fundo Misto,Indefinido
CLAVE ÍNDICES DE PREÇOS FDO DE INV IMOB,FII CLAVE IN,CLIN,Fundo de Papel,Fundo de Fundos
COSMIC FDO DE INV IMOB,FII COSMIC,CSMC,Fundo Misto,Indefinido
CVPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI,FII CVPAR,CVPR,Fundo Misto,Indefinido
